Author,Number of Articles Published
"Black, Dan",1
"Kolesnikova, Natalia",1
"Taylor, Lowell",1
"Stevens, Margaret",1
"Haider, Steven J.",1
"McManus, Walter",1
"Gould, William",1
"Booth, Alison L.",2
"Frank, Jeff",1
"Hirsch, Barry T.",7
"Macpherson, David A.",3
"O'Keeffe, Mary",1
"Viscusi, W. Kip",2
"Zeckhauser, Richard J.",1
"Thomason, Terry",1
"Burton, John F., Jr.",1
"Park, Ki Seong",1
"Hum, Derek",1
"Simpson, Wayne",1
"Anderson, Gary M.",1
"Block, Walter",2
"Hvide, Hans K.",2
"Moen, Espen R.",1
"Stapleton, David C.",1
"Young, Douglas J.",1
"Buchinsky, Moshe",1
"Leslie, Phillip",1
"Dubois, Pierre",1
"de Janvry, Alain",1
"Sadoulet, Elisabeth",1
"Bruce, Christopher J.",1
"Atkins, Frank J.",1
"Rebitzer, James B.",2
"Taylor, Lowell J.",2
"Clark, Andrew",1
"Wolpin, Kenneth I.",3
"Murphy, Kevin M.",5
"Dickens, William T.",1
"Stoll, Michael A.",1
"Barron, John M.",5
"Van Reenen, John",1
"Montgomery, Edward",1
"Revenga, Ana",1
"Low, Stuart A.",2
"Ormiston, Michael B.",1
"Varejao, Jose",1
"Clark, Todd E.",1
"Oi, Walter Y.",1
"Ahituv, Avner",1
"Tienda, Marta",1
"Cater, Bruce I.",1
"Hogan, Chad",1
"Waldman, Michael",4
"Topel, Robert H.",2
"Ramaswami, Chitra",1
"Neal, Derek",4
"Daula, Thomas",1
"Gobillon, Laurent",1
"Meurs, Dominique",1
"Roux, Sebastien",1
"Gunderson, Morley",3
"Melino, Angelo",2
"Fox, Jeremy T.",2
"Ransom, Michael R.",4
"Sims, David P.",1
"Smith, James D.",1
"Smith, Jeffrey A.",2
"Baker, G. M.",1
"Damm, Anna Piil",1
"Engberg, John",1
"Epple, Dennis",1
"Imbrogno, Jason",1
"Sieg, Holger",1
"Zimmer, Ron",2
"Hotz, V. Joseph",1
"Imbens, Guido W.",1
"Klerman, Jacob A.",1
"Leuven, Edwin",2
"Oosterbeek, Hessel",2
"Eriksson, Tor",2
"Schonberg, Uta",3
"Ludsteck, Johannes",1
"Rogers, Cynthia L.",1
"Antonovics, Kate",1
"Kuhnen, Camelia M.",1
"Abraham, Katharine G.",2
"Haltiwanger, John",4
"Sandusky, Kristin",1
"Macis, Mario",1
"Schivardi, Fabiano",2
"Chen, Kong-Pin",2
"Chan, William",2
"Gibbons, Stephen",1
"Silva, Olmo",2
"Cook, Michael D.",1
"Evans, William N.",2
"Hauser, Robert M.",1
"Sewell, William H.",1
"Ogawa, Naohiro",1
"Ermisch, John F.",1
"Swaim, Paul",1
"Podgursky, Michael",2
"Dunn, Thomas",1
"Holtz-Eakin, Douglas",2
"Brown, Charles",2
"Medoff, James L.",1
"Taylor, Susan K.",1
"Barth, Erling",2
"Balmaceda, Felipe",1
"Knez, Marc",1
"Simester, Duncan",1
"Osberg, Lars",1
"Sobel, Joel",1
"Bertrand, Marianne",1
"Antecol, Heather",2
"Gayle, George-Levi",1
"Miller, Robert A.",1
